Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,2026 proj pts,2025 proj pts,Diff,ADP,Diff,CL Z,14.98264103
Edwin Diaz,LAD,RP,65,90,5,37,3.02,1.06,22,47,22,7,64,0,2,0,142,,142,4,-3,2.097163816,110.5789474
Mason Miller,SD,RP,65.3,101,4,33,2.51,0.99,18,40,25,6,63,0,2,0,142,,142,5,-3,2.097163816,
Cade Smith,CLE,RP,69,89,5,31,2.88,1.07,22,53,21,6,69,0,3,0,135,,135,50,-47,1.629956467,
Daniel Palencia,CHC,RP,64.1,73,4,30,3.64,1.24,26,53,27,7,63,0,3,0,117,,117,#N/A,#N/A,0.42856614,
Ryan Helsley,BAL,RP,62.8,71,4,28,3.5,1.21,24,52,23,7,62,0,3,0,115,,115,6,-1,0.2950783259,
Jhoan Duran,PHI,RP,66.5,77,5,32,2.88,1.12,21,54,21,5,68,0,3,0,114,,114,11,-5,0.2283344188,
Andres Munoz,SEA,RP,62.8,79,4,32,2.91,1.12,20,45,25,5,63,0,3,0,112,,112,9,-2,0.09484660474,
David Bednar,NYY,RP,62.7,76,4,33,3.25,1.12,23,49,21,7,64,0,3,0,110,,110,19,-11,-0.03864120934,
Josh Hader,HOU,RP,54.9,75,4,27,3.2,1.07,20,38,21,7,54,0,3,0,110,,110,3,6,-0.03864120934,
Devin Williams,NYM,RP,63.3,84,4,31,3.09,1.14,22,46,27,6,64,0,3,0,109,,109,2,8,-0.1053851164,
Aroldis Chapman,BOS,RP,60,83,4,31,3,1.15,20,42,26,5,62,0,3,0,108,,108,39,-28,-0.1721290234,
Ryan Walker,SF,RP,62.5,66,4,25,3.49,1.2,24,55,20,6,62,0,3,0,108,,108,12,0,-0.1721290234,
Dennis Santana,PIT,RP,66.4,61,4,24,3.93,1.26,29,61,23,7,66,0,3,0,103,,103,121,-108,-0.5058485586,
Abner Uribe,MIL,RP,69.3,81,4,17,3.12,1.2,24,53,31,5,69,0,3,0,101,,101,114,-100,-0.6393363727,
Carlos Estevez,KC,RP,63.7,57,3,31,4.23,1.27,30,58,23,8,64,0,4,0,98,,98,26,-11,-0.8395680938,
Raisel Iglesias,ATL,RP,64.8,69,4,27,3.62,1.14,26,56,17,8,66,0,3,0,96,,96,7,9,-0.9730559079,
Jeff Hoffman,TOR,RP,62.6,75,4,26,3.63,1.17,25,50,23,8,64,0,3,0,94,,94,16,1,-1.106543722,
Trevor Megill,MIL,RP,62.5,76,4,17,3.43,1.17,24,51,23,7,62,0,3,0,94,,94,18,0,-1.106543722,
Emilio Pagan,CIN,RP,65.4,72,3,27,3.95,1.18,29,55,22,10,66,0,3,0,93,,93,163,-144,-1.173287629,
Pete Fairbanks,MIA,RP,60.1,62,3,26,3.55,1.21,24,52,21,6,61,0,3,0,90,,90,21,-1,-1.37351935,
Victor Vodnik,COL,RP,63,60,3,19,4.32,1.46,30,62,30,7,61,0,4,0,85,,85,124,-103,-1.707238885,
Clayton Beeter,WSH,RP,61.7,71,3,16,3.9,1.34,27,50,33,7,56,0,3,0,83,,83,188,-166,-1.840726699,
Kenley Jansen,DET,RP,57.8,59,3,24,3.99,1.21,26,49,21,8,59,0,3,0,82,,82,23,0,-1.907470607,
Griffin Jax,TB,RP,66,83,4,16,3.02,1.08,22,53,19,6,67,0,3,0,81,,81,34,-10,-1.974214514,
Riley O'Brien,STL,RP,62.3,64,3,14,3.73,1.31,26,54,27,6,60,0,3,0,81,,81,#N/A,#N/A,-1.974214514,
Robert Garcia,TEX,RP,61.6,67,4,20,3.61,1.22,25,53,22,7,64,0,3,0,80,,80,73,-47,-2.040958421,
Seranthony Dominguez,CWS,RP,61.4,69,3,20,3.9,1.29,27,51,28,8,64,0,4,0,77,,77,98,-71,-2.241190142,
Edwin Uceta,TB,RP,60.1,72,4,11,3.73,1.19,25,49,22,8,58,0,3,0,76,,76,54,-26,-2.307934049,
Kevin Ginkel,ARI,RP,62.5,65,4,10,3.82,1.27,27,56,23,6,62,0,3,0,74,,74,107,-78,-2.441421863,
Taylor Rogers,MIN,RP,58.2,61,3,16,4.12,1.34,27,53,25,7,60,0,3,0,66,,66,122,-92,-2.975373119,
Hogan Harris,ATH,RP,65.7,63,3,10,4.39,1.4,32,61,31,8,57,0,3,0,64,,64,#N/A,#N/A,-3.108860933,
JoJo Romero,STL,RP,61.7,58,4,12,3.66,1.29,25,56,24,6,63,0,3,0,63,,63,99,-67,-3.17560484,
Ben Joyce,LAA,RP,45.8,52,2,10,3.73,1.27,19,37,21,4,45,0,2,0,60,,60,25,8,-3.375836561,
Cole Henry,WSH,RP,61.9,59,2,13,4.78,1.44,33,57,33,9,63,0,3,0,57,,57,#N/A,#N/A,-3.576068283,
Paul Sewald,ARI,RP,57,57,3,12,4.43,1.25,28,52,19,9,58,0,3,0,55,,55,56,-21,-3.709556097,
Kirby Yates,LAA,RP,55.7,66,3,10,4.02,1.28,25,45,26,8,56,0,3,0,54,,54,17,19,-3.776300004,
