Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,2026 proj Pts,Pts/ip,2025 proj pts,Diff,Rotation Rank,sp z,ADP,DIff,Frozen,35.99704685,,,
Tarik Skubal,DET,SP,193.3,234,14,0,2.72,0.97,58,148,40,18,31,31,7,1,279,1.443352302,252,27,1,3.728257225,3,-2,y,144.79375,,,
Paul Skenes,PIT,SP,186,221,13,0,2.79,1.04,58,146,48,15,31,31,7,1,262,1.408602151,245,17,1,3.255996262,2,0,,,,,
Garrett Crochet,BOS,SP,189.4,231,14,0,3.01,1.07,63,153,49,20,31,31,8,1,261,1.378035903,233,28,1,3.228216206,7,-4,y,,,,
Cristopher Sanchez,PHI,SP,191.7,188,13,0,3.19,1.14,68,172,47,16,31,31,8,1,242,1.26238915,228,14,1,2.70039513,68,-64,y,,,,
Logan Webb,SF,SP,197.4,188,13,0,3.28,1.17,72,186,45,16,32,31,9,1,239,1.210739615,,239,1,2.61705496,31,-26,,,,,
Bryan Woo,SEA,SP,186.9,189,13,0,3.4,1.05,71,157,40,24,31,31,9,0,235,1.257356875,216,19,1,2.505934733,58,-52,y,,,,
Max Fried,NYY,SP,183,173,14,0,3.31,1.17,67,160,54,17,30,30,8,1,228,1.245901639,205,23,1,2.311474337,27,-20,y,,,,
Framber Valdez,DET,SP,191.4,179,13,0,3.49,1.23,74,171,64,16,30,30,9,2,224,1.170323929,194,30,2,2.20035411,17,-9,y,,,,
Hunter Brown,HOU,SP,179.7,194,12,0,3.44,1.18,69,152,59,19,31,30,8,1,203,1.129660545,224,-21,1,1.616972921,44,-35,y,,,,
Chris Sale,ATL,SP,159.4,195,11,0,3.23,1.1,57,132,43,17,27,27,6,0,197,1.235884567,,197,1,1.450292581,8,2,y,,,,
Jesus Luzardo,PHI,SP,177.2,197,12,0,3.66,1.18,72,154,55,22,31,30,9,0,197,1.111738149,,197,2,1.450292581,107,-96,y,,,,
Logan Gilbert,SEA,SP,165.4,185,11,0,3.38,1.06,62,136,39,21,29,29,7,1,195,1.178960097,,195,2,1.394732468,5,7,,,12.22489367,13.31741719,29.03082715
Nathan Eovaldi,TEX,SP,162.3,156,11,0,3.62,1.14,65,144,41,19,27,27,8,1,193,1.189155884,,193,1,1.339172355,84,-71,,,,,
Yoshinobu Yamamoto,LAD,SP,159.6,174,12,0,3.27,1.11,58,130,48,16,27,27,6,0,192,1.203007519,226,-34,1,1.311392298,15,-1,y,,,,
George Kirby,SEA,SP,171.1,168,12,0,3.55,1.11,68,156,33,20,30,30,8,0,191,1.116306254,,191,3,1.283612242,14,1,,,,,
Cole Ragans,KC,SP,155.9,194,11,0,3.38,1.15,59,124,55,17,27,28,7,0,190,1.218729955,,190,1,1.255832185,10,6,,,,,
Dylan Cease,TOR,SP,170.2,200,11,0,3.69,1.22,70,142,65,20,31,30,9,0,190,1.116333725,,190,1,1.255832185,9,8,,,,,
Jacob deGrom,TEX,SP,162.8,180,11,0,3.48,1.06,63,134,39,22,28,28,8,0,187,1.148648649,,187,2,1.172492015,20,-2,,,,,
Sonny Gray,BOS,SP,171.5,180,11,0,3.74,1.2,71,160,45,21,30,30,9,0,186,1.084548105,,186,2,1.144711958,39,-20,,,,,
Freddy Peralta,NYM,SP,165.4,183,12,0,3.78,1.2,69,137,61,22,30,30,8,0,185,1.118500605,203,-18,1,1.116931902,37,-17,y,,,,
Joe Ryan,MIN,SP,168.5,185,11,0,3.8,1.1,71,146,40,25,29,29,9,0,184,1.091988131,,184,1,1.089151845,41,-20,,,,,
Zack Wheeler,PHI,SP,141.3,161,10,0,3.28,1.08,51,115,37,16,23,23,6,0,184,1.302193914,,184,3,1.089151845,4,18,,,,,
Kevin Gausman,TOR,SP,179.1,175,12,0,3.93,1.21,78,164,53,24,30,30,9,1,183,1.021775544,,183,2,1.061371789,56,-33,,,,,
Luis Castillo,SEA,SP,178.7,167,11,0,3.88,1.19,77,162,51,25,31,30,9,0,182,1.018466704,,182,4,1.033591732,30,-6,,,,,
