Team,G,W,L,W%,RDif,2026 Year to Date RS/G,RA/G,G,W,L,W%,RDif,2026 Projected Rest of Season RS/G,RA/G,W,L,W%,RDif,2026 Projected Full Season RS/G,RA/G
Los Angeles Dodgers,6,4,2,0.667,6,3.83,2.83,156,91,65,0.585,130,5.06,4.22,95,67,0.588,136,5.01,4.17
New York Yankees,6,5,1,0.833,18,4.00,1.00,156,85,71,0.545,68,4.76,4.32,90,72,0.556,86,4.73,4.20
New York Mets,6,3,3,0.500,3,3.83,3.33,156,86,70,0.550,74,4.74,4.27,89,73,0.548,77,4.71,4.23
Atlanta Braves,6,4,2,0.667,12,4.00,2.00,156,84,72,0.538,58,4.72,4.35,88,74,0.543,70,4.69,4.26
Seattle Mariners,7,3,4,0.429,3,3.86,3.43,155,84,71,0.544,64,4.53,4.11,87,75,0.539,67,4.50,4.08
Philadelphia Phillies,6,3,3,0.500,-13,3.83,6.00,156,84,72,0.538,56,4.67,4.31,87,75,0.536,43,4.64,4.38
Toronto Blue Jays,6,4,2,0.667,-1,4.50,4.67,156,83,73,0.531,46,4.62,4.32,87,75,0.536,45,4.61,4.34
Milwaukee Brewers,6,5,1,0.833,28,7.50,2.83,156,79,77,0.508,11,4.47,4.40,84,78,0.520,39,4.58,4.34
Texas Rangers,6,4,2,0.667,5,5.33,4.50,156,80,76,0.514,21,4.55,4.42,84,78,0.520,26,4.58,4.42
Chicago Cubs,6,3,3,0.500,6,5.00,4.00,156,81,75,0.517,25,4.59,4.43,84,78,0.516,31,4.61,4.42
Boston Red Sox,6,1,5,0.167,-15,2.83,5.33,156,82,74,0.528,42,4.54,4.28,83,79,0.515,27,4.48,4.32
Baltimore Orioles,6,3,3,0.500,-1,4.33,4.50,156,80,76,0.515,23,4.76,4.61,83,79,0.514,22,4.74,4.61
Houston Astros,7,5,2,0.714,13,6.43,4.57,155,78,77,0.502,3,4.56,4.54,83,79,0.511,16,4.64,4.55
Detroit Tigers,6,2,4,0.333,0,4.00,4.00,156,81,75,0.518,26,4.41,4.25,83,79,0.511,26,4.40,4.24
Pittsburgh Pirates,6,3,3,0.500,3,4.83,4.33,156,80,76,0.511,16,4.45,4.35,83,79,0.510,19,4.46,4.35
Kansas City Royals,5,3,2,0.600,-1,4.40,4.60,157,79,78,0.502,2,4.60,4.59,82,80,0.505,1,4.60,4.59
Arizona Diamondbacks,6,3,3,0.500,-2,4.17,4.50,156,78,78,0.501,1,4.55,4.54,81,81,0.501,-1,4.54,4.54
Tampa Bay Rays,6,2,4,0.333,-8,5.00,6.33,156,78,78,0.502,3,4.31,4.29,80,82,0.496,-5,4.34,4.37
San Francisco Giants,6,2,4,0.333,-11,2.33,4.17,156,78,78,0.498,-2,4.35,4.37,80,82,0.492,-13,4.28,4.36
Miami Marlins,6,5,1,0.833,15,5.50,3.00,156,74,82,0.475,-37,4.30,4.53,79,83,0.488,-22,4.34,4.48
San Diego Padres,6,2,4,0.333,-7,3.17,4.33,156,77,79,0.492,-12,4.46,4.53,79,83,0.486,-19,4.41,4.53
Minnesota Twins,5,1,4,0.200,-6,4.20,5.40,157,77,80,0.491,-13,4.49,4.58,78,84,0.482,-19,4.49,4.60
Cincinnati Reds,6,3,3,0.500,-9,2.83,4.33,156,75,81,0.479,-32,4.51,4.72,78,84,0.480,-41,4.45,4.70
Cleveland Guardians,7,4,3,0.571,-7,3.14,4.14,155,73,82,0.473,-39,4.34,4.59,77,85,0.478,-46,4.28,4.57
St. Louis Cardinals,6,4,2,0.667,1,4.83,4.67,156,72,84,0.463,-54,4.26,4.61,76,86,0.471,-53,4.28,4.61
Athletics,6,1,5,0.167,-10,2.83,4.50,156,75,81,0.482,-27,4.65,4.83,76,86,0.471,-37,4.59,4.82
Los Angeles Angels,7,3,4,0.429,-4,4.43,5.00,155,71,84,0.456,-66,4.30,4.73,74,88,0.455,-70,4.31,4.74
Washington Nationals,6,3,3,0.500,10,6.33,4.67,156,67,89,0.430,-106,4.21,4.89,70,92,0.432,-96,4.29,4.88
Chicago White Sox,6,1,5,0.167,-31,3.50,8.67,156,67,89,0.427,-111,4.22,4.93,68,94,0.417,-142,4.19,5.07
Colorado Rockies,6,2,4,0.333,3,4.00,3.50,156,62,94,0.397,-168,4.47,5.55,64,98,0.394,-165,4.45,5.47
